Title,Runtime,Artist,Album,Genre
Specular Reflection,11:20,Between the Buried & Me,The Parallax: Hypersleep Dialogues,Progressive Metalcore
Special Kind of Bad,3:46,Yelawolf,Trunk Muzik 3,Hip-Hop/Rap
Speak of the Devil,3:24,A Day to Remember,,Alternative
Speak of the Devil,3:24,A Day to Remember,For Those Who Have Heart,Alternative
Speak Her Sex,2:54,Yelawolf Feat. Nikkiya,Trunk Muzik,
Sparrow,2:51,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Singer/Songwriter
Space Olympics,2:55,The Lonely Island,Incredibad,Comedy
The Space,2:47,Chon,Homey,Rock
Space,4:15,Andrew Prahlow,Outer Wilds (Original Soundtrack),Soundtrack
Southern Constellations,1:05,Pierce The Veil,Selfish Machines Deluxe Edition,Post Hardcore
The Sounds of Silence,3:09,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Singer/Songwriter
The Sounds of Silence,3:09,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Singer/Songwriter
The Sounds of Silence,3:09,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Singer/Songwriter
The Sounds of Silence,3:09,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Singer/Songwriter
The Sounds of Silence,3:09,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Singer/Songwriter
Sound the Alarm V.2.0,1:49,A Day to Remember,,Alternative
Sound the Alarm V.2.0,1:49,A Day to Remember,Old Record,Alternative
The Sound of Water,2:35,Andrew Prahlow,Outer Wilds: Echoes of the Eye (The Lost Reels) [Deluxe Original Game Soundtrack],Soundtrack
The Sound of Silence [live],3:06,Simon & Garfunkel,,
The Sound of Silence [live],3:06,Simon & Garfunkel,Greatest Hits,
The Sound of Breathing,4:27,I the Mighty,Where the Mind Wants to Go / Where You Let It Go,Alternative
Sound and Fury,4:05,My Epic,Yet,Alternative
Soul Sacrifice [Live],11:39,Santana,Santana [Bonus Tracks],Rock
Soul Sacrifice,6:47,Santana,Santana [Bonus Tracks],Rock
Soul Everyday featuring Ben,5:07,Yelawolf,Creek Water,
Sotto Voce,1:34,The Human Abstract,Nocturne,Rock
Soria Moria,5:51,Scale the Summit,V,Metal
Soraya,4:27,Animals As Leaders,Animals As Leaders,Progressive Metal
Song of Solomon,4:14,Animals As Leaders,Animals As Leaders,Progressive Metal
Song for the Asking,1:51,Simon & Garfunkel,Bridge Over Troubled Water,Pop
Song For America,9:09,Kansas,The Best Of Kansas,
Son of the Morning,3:25,"Oh, Sleeper",,Christian Metal
Son of the Morning,3:25,"Oh, Sleeper",Son of the Morning,Christian Metal
Son of Robot,3:59,Dance Gavin Dance,Artificial Selection,Rock
Son of a Serpent,8:06,Thank You Scientist,Terraformer,Rock
Son of a Gun,4:58,Yelawolf,Trial By Fire,Hip-Hop/Rap
Somnarium,4:15,Animals As Leaders,Weightless,Rock
The Somnambulist,5:33,Thank You Scientist,Stranger Heads Prevail,Rock
Somewhere They Can't Find Me,2:39,Simon & Garfunkel,Sounds of Silence,Singer/Songwriter
Sometimes Y,3:21,Yelawolf & Shooter Jennings,Sometimes Y,Rock
Something to Hold Onto,3:52,The Home Team,Better Off,Pop Punk
Something New,3:56,Dance Gavin Dance,Instant Gratification,Rock
Something About You,3:48,Boston,Boston,Rock
Someone Anyone,3:28,Anberlin,Vital,Christian Alt-Rock
Someday,3:42,Tilian,Material Me,Pop
Somebody,9:01,Haken,The Mountain,Metal
Somebody,4:10,The Eagles,Long Road Out Of Eden [Disc 2],Rock
Some Sense of Security,4:00,Saosin,Saosin [Clean],Alternative
A Solution,2:07,Born Of Osiris,The Discovery,Metal
Solitude Is Bliss (Mickey Moonlight T.A.M Remix),4:01,Tame Impala,InnerSpeaker (Collector's Edition),Alternative
Solitude Is Bliss,3:56,Tame Impala,InnerSpeaker,Alternative
The Solitary Life (featuring Caleb Shomo),4:03,In Fear And Faith,Symphonies,Rock
Soldiers,4:47,Macklemore,The Language Of My World,Seattle Underground
Soft Skeletons,4:09,Anberlin,New Surrender,Alternative
Sobriety Sucks,4:15,Yelawolf & M16,Heart Of Dixie,Hip-Hop
So What'Cha Want (Remastered),3:37,Beastie Boys,Check Your Head (Deluxe Version) [Remastered],Hip-Hop/Rap
So to Speak,1:41,BackWordz,Veracity,Metal
So Strange (feat. Cuco),4:00,Polyphia,New Levels New Devils,Prog-Rock/Art Rock
So Many of Us Hide Our Black Hearts,1:16,Jonny Craig,A Dream Is a Question You Don't Know How To Answer,Rock
"So Long, Frank Lloyd Wright",3:43,Simon & Garfunkel,Bridge Over Troubled Water,Pop
So Long,3:56,Yelawolf,Ghetto Cowboy,Hip-Hop/Rap
So Hard To Breathe,4:21,B.o.B,Strange Clouds,Hip-Hop
So Good,3:43,B.o.B,Strange Clouds,Hip-Hop
So Glad,3:57,Far-Less,,Rock
So Glad,3:57,Far-Less,A Toast To Bad Taste,Rock
So Far So Fake,3:56,Pierce the Veil,The Jaws of Life,Alternative
So Cold I Could See My Breath,3:31,Emery,The Question,Alternative
Snow,2:17,Manuel Gardner Fernandes,Volume II,Rock
Snap,3:15,BackWordz,Veracity,Metal
Snake,3:00,Unprocessed,Gold,Alternative
Smooth (feat. Rob Thomas),4:56,Santana,Ultimate Santana,Rock
Smooth,3:59,Escape The Fate,Punk Goes Pop Volume 2,Punk
Smokin,4:21,Boston,Boston,Rock
Smokahontas,3:54,Attack Attack!,Attack Attack,Rock
"Slumafia (feat. Big Henri, Gangsta Boo, Seed of 6ix & Bray)",5:52,Yelawolf & DJ Paul,Slumafia,Hip-Hop/Rap
Slow Ride,2:57,Beastie Boys,Licensed to Ill,Hip-Hop/Rap
SLOW MOTION,2:46,Anchor & Braille,TENSION,Indie Rock
Slow Gold Becoming (Instrumental),3:55,Thomas Giles,Velcro Kid,Rock
Slow Gold Becoming,3:55,Thomas Giles,Velcro Kid,Rock
Slow Bloom,2:43,The Home Team,Slow Bloom,Pop Punk
Slow and Low,3:38,Beastie Boys,Licensed to Ill,Hip-Hop/Rap
Slouch,3:11,Dance Gavin Dance,Artificial Selection,Rock
Slight of Hand,5:41,Intervals,The Shape of Colour,Instrumental
Sleepy Tea,3:05,Chon,Homey,Rock
Sleepwalker,4:01,Parkway Drive,Deep Blue,Metalcore
Sleepwalker,3:53,I the Mighty,Where the Mind Wants to Go / Where You Let It Go,Alternative
Sleeptalk,3:43,Dayseeker,Sleeptalk,Hard Rock
Sleeping Beauty,5:14,Yelawolf,Creek Water,
Sleepers,2:52,Saosin,Saosin [Clean],Alternative
Sleep. When We Die.,4:20,Anchor & Braille,Felt,Alternative
Sleep with one eye open,4:16,Bring Me The Horizon,Suicide Season,Deathcore
Sleep Shake,4:55,Thomas Giles,Pulse,
Sleep,4:43,My Chemical Romance,The Black Parade,Alternative
"A Slave, A Son",3:18,Jamie's Elsewhere,They Said A Storm Was Coming,Screamo
Sky’s the Limit,4:29,Yelawolf,Love Story,Hip-Hop/Rap
The Sky Under The Sea,4:34,Pierce The Veil,Selfish Machines Deluxe Edition,Post Hardcore
The Sky Is Red,11:22,Leprous,Pitfalls,Hard Rock
sKieS,1:56,Manuel Gardner Fernandes,Volume IV,Rock
Sixth,2:22,Manuel Gardner Fernandes,Volume III,Rock
Six O'Clock,2:41,The Lovin' Spoonful,Platinum & Gold Collection: The Lovin' Spoonful,Pop
Siren Sound,5:03,Intervals,Avw // Instrumental,Metal
Siphon the Bad Blood,4:06,Thomas Giles,Modern Noise,Rock
Singularity,3:33,Born Of Osiris,The Discovery,Metal
The Singleman Party Foxtrot,2:54,Dave Grusin,The Graduate (Original Motion Picture Soundtrack),Folk
Sing Out,3:21,Anchor & Braille,Felt,Alternative
Sing,3:00,The Classic Crime,The Silver Cord,Rock
Since We All Fell Apart,3:28,The Home Team,Better Off,Pop Punk
Since U Been Gone [*],3:18,A Day to Remember,,Alternative
Since U Been Gone [*],3:18,A Day to Remember,For Those Who Have Heart,Alternative
Simple Man,5:59,Lynyrd Skynyrd,The Very Best Of Lynyrd Skynyrd - Gold & Platinum,
A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission),2:18,Simon & Garfunkel,"Parsley, Sage, Rosemary and Thyme",Pop
Silver Tongues (feat. Tilian),4:18,I the Mighty,Where the Mind Wants to Go / Where You Let It Go,Alternative
Silhouette,3:45,Leprous,Aphelion,Rock
The Silent Revelation,5:45,Leprous,Aphelion,Rock
Silent Flight Parliament,15:09,Between the Buried & Me,The Parallax II: Future Sequence,Metal
Silence Is Screaming,3:43,In Fear And Faith,Symphonies,Rock
Signature of Starving Power,3:46,Job For A Cowboy,GLOOM,Death Metal
Sign of Four,3:41,Chris Letchford,Lightbox,Instrumental
Sigh No More,3:28,Mumford & Sons,Sigh No More,
Sick on Sunday,2:10,The Dillinger Escape Plan,,Metal
Sick on Sunday,2:10,The Dillinger Escape Plan,Ire Works,Metal
Shy Ronnie 2: Ronnie & Clyde (featuring Rihanna),2:27,The Lonely Island,Turtleneck & Chain,
Shut Your Mouth,2:45,Attack Attack!,Attack Attack,Rock
Shrooms (Interlude),0:34,The Lonely Island,Incredibad,Comedy
Showtime,1:11,Upon A Burning Body,,Deathcore
Showtime,1:11,Upon A Burning Body,The World Is Ours,Deathcore
A Show of Hands,5:28,Victor Wooten,A Show of Hands 15,Jazz
Show 'Em the Ropes,3:23,A Day to Remember,,Alternative
Show 'Em the Ropes,3:23,A Day to Remember,For Those Who Have Heart,Alternative
Shoutout to All My Toasters,3:21,SLAVES,Routine Breathing,Rock
A Shot in the Dark,3:52,A Day to Remember,For Those Who Have Heart,Alternative
Shoe String,3:08,Yelawolf & Shooter Jennings,Sometimes Y,Rock
Shelf Life,3:09,Dance Gavin Dance,Artificial Selection,Rock
Sheet Music / Sheet Music,4:07,Anchor & Braille,Felt,Alternative
Shed Your Soul,2:36,"Oh, Sleeper",Children Of Fire,Metalcore
She's Quiet,3:19,The Home Team,Better Off,Pop Punk
She's Crafty,3:35,Beastie Boys,Licensed to Ill,Hip-Hop/Rap
She's Always Singing,2:41,The Dear Hunter,The Color Spectrum: The Complete Collection,Alternative
She Sings In The Morning,2:59,Pierce The Veil,A Flair For The Dramatic,Punk
She Makes Dirty Words Sound Pretty,3:48,Pierce The Veil,Selfish Machines Deluxe Edition,Post Hardcore
She Just Won't Believe Me,0:57,Tame Impala,Lonerism,Alternative
She Is Still a Mystery,2:59,The Lovin' Spoonful,Platinum & Gold Collection: The Lovin' Spoonful,Pop
Shatner's Lament,1:13,Thank You Scientist,Terraformer,Rock
The Sharpest Lives,3:21,My Chemical Romance,The Black Parade,Alternative
Shark Dad,3:33,Dance Gavin Dance,Instant Gratification,Rock
Shared Trauma,4:13,Pierce the Veil,The Jaws of Life,Alternative
"Share the Sunshine Young Blood, Pt. 2 (feat. Kyle Lucas)",3:14,SLAVES,Routine Breathing,Rock
Share the sunshine young blood,3:01,Emarosa,Emarosa,Rock
Shaping The Masterpiece,4:39,Born Of Osiris,The Discovery,Metal
Shake Your Rump,3:18,Beastie Boys,Paul's Boutique (20th Anniversary Remastered Edition)[Bonus B-Boy Bouillabaisse],Hip-Hop/Rap
Shake N' Bake,4:06,Yelawolf,Ball Of Flames The Ballad Of Slick Rick,
Shadows (feat. Joshua Hedley),5:12,Yelawolf,Trial By Fire,Hip-Hop/Rap
Shadow Walk,3:12,Ichika Nito,Until the End - EP,Instrumental
The Shadow Side,4:29,Leprous,Aphelion,Rock
The Shadow Proves the Sunshine,5:04,Switchfoot,Nothing Is Sound,Alternative
Shades Of Time,3:14,Santana,Santana [Bonus Tracks],Rock
Sgt. Baker,4:13,Primus,Sailing the Seas of Cheese,Hard Rock
Sfumato,1:09,Between the Buried and Me,Colors II,Metal
Sexual Man Chocolate,3:18,Attack Attack!,Attack Attack,Rock
Sex Tapes,4:39,Protest The Hero,Scurrilous,Metal
Sex Life,3:30,Destroy Rebuild Until God Shows,D.R.U.G.S.,Post Hardcore
Sever,3:58,Hurtwave,Night Therapy I,Alternative
Seventh,3:51,Manuel Gardner Fernandes,Volume III,Rock
Seventeen Ain't So Sweet,3:22,The Red Jumpsuit Apparatus,Don't You Fake It,Rock
Seven Ways Till Sunday,4:48,T.R.A.M.,Lingua Franca,Experimental
Seven Series Triplets (feat. Prodigy & Raekwon),3:31,Action Bronson,SAAAB STORIES Produced by Harry Fraud - EP,Hip-Hop/Rap
Seven Bridges Road (Live),3:05,Eagles,Eagles Live,Rock
Settings Scores By Burning Bridges,3:52,Maylene & The Sons Of Disaster,III,Rock
The Setting Sun,4:25,Switchfoot,Nothing Is Sound,Alternative
Set Us Free,3:04,BackWordz,Veracity,Metal
Set To Destroy,1:34,Parkway Drive,,Metalcore
Set To Destroy,1:34,Parkway Drive,Deep Blue,Metalcore
Seriosity,5:15,Cloudkicker,The Map is Not the Territory,
Seperate Ways (Worlds Apart),4:09,A Skylit Drive,Punk Goes Classic Rock,
Separate Ways (Worlds Apart),5:26,Journey,Journey: Greatest Hits,Rock
Separate Realities,11:27,Trioscapes,Separate Realities,Jazz
Send Her My Love,3:55,Journey,Journey: Greatest Hits,Rock
Selkies: The Endless Obsession,7:21,Between the Buried and Me,Alaska (2020 Remix / Remaster),Metal
Self-Starter,3:18,Anberlin,Vital,Christian Alt-Rock
The Self Surrendered,8:07,Intervals,Avw // Instrumental,Metal
Self Portraits Of The Instincts,3:25,The Human Abstract,Nocturne,Rock
Self Ownership,5:07,BackWordz,Veracity,Metal
Selenium Forest,6:06,Plini,Other Things - Single,Metal
segue:,3:00,Cloudkicker,The Discovery,
Segue To So Glad,1:22,Far-Less,A Toast To Bad Taste,Rock
Segue To Gentlemen (Go To Sleep),0:53,Far-Less,,Rock
Segue To Gentlemen (Go To Sleep),0:53,Far-Less,A Toast To Bad Taste,Rock
Segue To Devil Without A Clue,0:32,Far-Less,,Rock
Segue To Devil Without A Clue,0:32,Far-Less,A Toast To Bad Taste,Rock
Seeds of Gold,3:42,Closure In Moscow,Pink Lemonade,Alternative
See You Again,3:24,Breathe Carolina,Punk Goes Pop Volume 2,Punk
See Hell,4:20,Agent Fresco,Destrier,Alternative
Section 8,4:27,Whitechapel,Recorrupted EP,
Secret Ways,1:56,Andrew Prahlow,Outer Wilds: Echoes of the Eye (The Lost Reels) [Deluxe Original Game Soundtrack],Soundtrack
Secret Earth,3:39,Scale The Summit,The Collective,Progressive Metal
Second,1:04,Manuel Gardner Fernandes,Volume III,Rock
Seattle,4:29,The Classic Crime,Acoustic EP: Seattle Sessions,Alternative
Seasons,3:34,Jamie's Elsewhere,They Said A Storm Was Coming,Screamo
Seas of Cheese,0:43,Primus,Sailing the Seas of Cheese,Hard Rock
"Searching, Seeking, Reaching, Always",2:56,We Came As Romans,To Plant A Seed,Post-hardcore/Metalcore
Search Me Out,3:47,Ivoryline,Vessels,Rock
Search And Destroy,5:38,30 Seconds To Mars,This Is War,Alt. Rock
The Search,2:42,Andrew Prahlow,Outer Wilds (Original Soundtrack),Soundtrack
Sealed Away,1:11,Andrew Prahlow,Outer Wilds: Echoes of the Eye (The Lost Reels) [Deluxe Original Game Soundtrack],Soundtrack
A Sea of Solid Earth,4:41,The Dear Hunter,The Color Spectrum: The Complete Collection,Alternative
Scorpio,4:06,Unprocessed,Gold,Alternative
"Scherzo No. 4 in E Major, Op. 54",10:16,Istvan Szekely,50 of the Best: Chopin,Classical
"Scherzo No. 2 in B-Flat Minor, Op. 31",9:24,Istvan Szekely,50 of the Best: Chopin,Classical
"Scherzo No. 1 in B Minor, Op. 20",9:45,Istvan Szekely,50 of the Best: Chopin,Classical
Scary Movies,2:10,The Home Team,Slow Bloom,Pop Punk
Scarface,2:48,Upon A Burning Body,,Deathcore
Scarface,2:48,Upon A Burning Body,The World Is Ours,Deathcore
Scaremonger,4:08,Chiodos,Illuminaudio,Punk
Scared,2:36,Thomas Giles,Pulse,
Scarborough Fair/Canticle,3:09,Simon & Garfunkel,,
Scarborough Fair/Canticle,3:09,Simon & Garfunkel,Greatest Hits,
Scarborough Fair / Canticle (Interlude),1:44,Simon & Garfunkel,The Graduate (Original Motion Picture Soundtrack),Folk
Scarborough Fair / Canticle (Extended Version),6:23,Simon & Garfunkel,The Graduate (Original Motion Picture Soundtrack),Folk
Scarborough Fair / Canticle,3:14,Simon & Garfunkel,"Parsley, Sage, Rosemary and Thyme",Pop
Scarborough Fair / Canticle,3:14,Simon & Garfunkel,"Parsley, Sage, Rosemary and Thyme",Pop
Say You Will,4:09,Foreigner,The Very Best of Foreigner,Rock
Say the Word,4:27,The Classic Crime,Albatross,Rock
Say No One's Home,3:30,Whale Bones,"Close All the Blinds, Lock All the Doors, Say No One's Home - EP",Singer/Songwriter
Say Hi,3:52,Dance Gavin Dance,Afterburner,Rock
Say Goodbye,5:04,Saosin,In Search Of Solid Ground,Alternative & Punk
Sax Man (feat. Jack Black),2:07,The Lonely Island,Incredibad,Comedy
Savor [Live],5:30,Santana,Santana [Bonus Tracks],Rock
Savor,2:47,Santana,Santana [Bonus Tracks],Rock
Save the Life of My Child,2:49,Simon & Garfunkel,Bookends,Singer/Songwriter
Saucy,3:05,Polyphia,New Levels New Devils,Prog-Rock/Art Rock
Sathington Waltz,1:40,Primus,Sailing the Seas of Cheese,Hard Rock
Satellite,3:23,Tilian,Perfect Enemy,Alternative
Sargasso Sea,5:15,Scale The Summit,,Prog Tech Metal
Sargasso Sea,5:15,Scale The Summit,Carving Desert Canyons,Prog Tech Metal
Santana DVX (feat. E-40),2:35,The Lonely Island,Incredibad,Comedy
Samsara,1:45,Parkway Drive,,Metalcore
Samsara,1:45,Parkway Drive,Deep Blue,Metalcore
Same Thing We Do Everyday Pinky,4:45,Broadway & Craig Owens (of Chiodos),Kingdoms,Alternative
Salvatore Wryhta,2:39,Emery,You Were Never Alone,Rock
Salt In the Snow,5:34,The Classic Crime,The Silver Cord,Rock
Salik's spoken word,2:01,Yelawolf,Creek Water,
A Salesman's Guide to Non - Existence,5:06,Thank You Scientist,Maps of Non - Existent Places,Rock
Salamanders And Worms,3:43,Tides of Man,Dreamhouse,Rock
Sails,3:00,The Home Team,Slow Bloom,Pop Punk
Said And Done,4:06,Anberlin,New Surrender,Alternative
Safe & Sound,3:56,Taylor Swift feat. The Civil Wars,Hunger Games Soundtrack,Pop
The sadness will never end,5:22,Bring Me The Horizon,Suicide Season,Deathcore
Sadness,3:53,Jonny Craig,The Places We'll Never Be,R&B/Soul
Sabrina,2:55,Yelawolf,Trial By Fire,Hip-Hop/Rap
Sabotage (2009 Remaster),2:58,Beastie Boys,Ill Communication (Deluxe Version) [Remastered],Hip-Hop/Rap
Ryland,3:16,Julian Lage,World's Fair,Jazz
Rust (The Short Story of Mary Agnosia),3:48,Anchor & Braille,Felt,Alternative
Rush,3:07,Emarosa,Sting,Pop
Runway Houses City Clouds,7:15,Tame Impala,InnerSpeaker,Alternative
Running Through the 6 With My Soul,3:57,SLAVES,Routine Breathing,Rock
Running Low,6:30,Leprous,Aphelion,Rock
"Running Away (feat. Joey Dosik, David T. Walker & James Gadson)",4:32,Vulfpeck,Mr Finish Line,Funk
The Runaways,3:20,Anberlin,Never Take Friendship Personal,Alternative
Runaway,8:44,Silverstein,Punk Goes Pop 4,Pop
Run This Town,3:50,Miss May I,Punk Goes Pop 3,Rock
Run Johnny,3:15,Yelawolf,Stereo,
Run,4:21,Yelawolf,Ball Of Flames The Ballad Of Slick Rick,
Rumba Mama,2:11,Weather Report,Heavy Weather,Fusion
Ruins,4:51,Unprocessed,Artificial Void,Metal
Ruination,4:56,Job For A Cowboy,Ruination,Technical Death Metal
Rube Goldberg Variations,8:53,Thank You Scientist,Stranger Heads Prevail,Rock
Rozeskin,1:10,Manuel Gardner Fernandes,Volume I,Pop
Rowdy,4:29,Yelawolf,Trunk Muzik 3,Hip-Hop/Rap
Row Your Boat,4:16,Yelawolf,Trial By Fire,Hip-Hop/Rap
rot,2:41,Axel Mansoor,i hadn't ever loved myself,Pop
Root Down (2009 Remaster),3:32,Beastie Boys,Ill Communication (Deluxe Version) [Remastered],Hip-Hop/Rap
Room Full of Eyes,4:16,The Dillinger Escape Plan,Option Paralysis,
Rolling in the Deep,3:55,Go Radio,Punk Goes Pop 4,Pop
Roll Up,3:23,The Ready Set,Punk Goes Pop 4,Pop
Roll Away Your Stone,4:24,Mumford & Sons,,
Roll Away Your Stone,4:24,Mumford & Sons,Sigh No More,
Rocky,2:34,The Lonely Island,Turtleneck & Chain,
Rocks at Your Window,5:21,Yelawolf,Mud Mouth,Hip-Hop/Rap
The Rockers (feat. Wiz Khalifa),3:09,Action Bronson,SAAAB STORIES Produced by Harry Fraud - EP,Hip-Hop/Rap
"Rock, Pebble, Stone",3:55,Emery,You Were Never Alone,Rock
Rock-N-Rule,3:39,Emery,I'm Only a Man (Bonus Track Version),Rock
Rock the Night,4:04,Europe,Hot Rod,Soundtrack
Rock N Roll Band,3:00,Boston,Boston,Rock
Rock N Roll All Nite,4:02,The Summer Set,Punk Goes Classic Rock,
Rock It,3:49,PRhyme,PRhyme 2,Hip-Hop
Rock & Roll Baby,5:57,Yelawolf & Shooter Jennings,Sometimes Y,Rock
Roboturner,7:07,Between the Buried and Me,Alaska (2020 Remix / Remaster),Metal
"The Robot With Human Hair, Pt. 4 (Tree City Sessions)",3:27,Dance Gavin Dance,Tree City Sessions,Rock
"The Robot with Human Hair, Pt. 4",3:32,Dance Gavin Dance,Acceptance Speech 2.0,Rock
"The Robot with Human Hair, Pt. 4",3:33,Dance Gavin Dance,Acceptance Speech,Rock
The Robot With Human Hair Pt. 2 1/2,4:36,Dance Gavin Dance,Downtown Battle Mountain II,Hardcore
Roaring 20's,2:52,Manuel Gardner Fernandes,Volume I,Pop
Roads That Don't End and Views That Never Cease,3:49,We Came As Romans,To Plant A Seed,Post-hardcore/Metalcore
The Road To Hell Is Paved With Good Intentions (featuring Craig Owens),3:30,In Fear And Faith,Symphonies,Rock
The Road Home to Panther Creek,3:20,Maylene & The Sons of Disaster,Maylene & The Sons of Disaster,Rock
River's End Times,7:49,Andrew Prahlow,Outer Wilds: Echoes of the Eye (The Lost Reels) [Deluxe Original Game Soundtrack],Soundtrack
River's End,2:07,Andrew Prahlow,Outer Wilds: Echoes of the Eye (The Lost Reels) [Deluxe Original Game Soundtrack],Soundtrack
The River,2:43,Andrew Prahlow,Outer Wilds: Echoes of the Eye (The Lost Reels) [Deluxe Original Game Soundtrack],Soundtrack
Risky Business,3:35,The Cab,Whisper War,Alternative
The Rising Tide,4:46,Job For A Cowboy,DOOM,Grindcore
The Rising (feat. Big Body Bes),4:02,Action Bronson,Mr. Wonderful,Hip-Hop/Rap
The Rise,4:52,"Oh, Sleeper",The Titan - EP,Heavy Metal
Ring 8 - Poverty,4:35,The Dear Hunter,Antimai,Alternative
Ring 7 - Industry,4:30,The Dear Hunter,Antimai,Alternative
Ring 6 - LoTown,6:09,The Dear Hunter,Antimai,Alternative
Ring 5 - Middle Class,8:42,The Dear Hunter,Antimai,Alternative
Ring 4 - Patrol,6:03,The Dear Hunter,Antimai,Alternative
Ring 3 - Luxury,9:41,The Dear Hunter,Antimai,Alternative
Ring 2 - Nature,4:23,The Dear Hunter,Antimai,Alternative
Ring 1 - Tower,6:45,The Dear Hunter,Antimai,Alternative
Righteous Kill,2:39,Upon A Burning Body,,Deathcore
Righteous Kill,2:39,Upon A Burning Body,The World Is Ours,Deathcore
Right Through Me,2:52,The Home Team,Slow Bloom,Pop Punk
Right Side,3:50,Tilian,The Skeptic,Alternative
Right Now (Na Na Na),4:21,Asking Alexandria,Punk Goes Pop 3,Rock
The Rig,4:14,Junkie XL,Mad Max: Fury Road (Original Motion Picture Soundtrack),Soundtrack
Riff Raff Freestyle,2:37,Riff Raff,The Golden Alien,Hip-Hop/Rap
Ride Or Die,4:46,Yelawolf,Trial By Fire,Hip-Hop/Rap
Ride Down the Highway,3:59,Yelawolf,Creek Water,
Richard Cory,2:59,Simon & Garfunkel,Sounds of Silence,Singer/Songwriter
Rich Like Me,3:05,Yelawolf,Stereo,
Rich Kids (feat. Yvette Young),3:22,Polyphia,New Levels New Devils,Prog-Rock/Art Rock
Rich,4:46,My Epic,,Alternative
Rich,4:46,My Epic,Yet,Alternative
Rice Out,3:28,Riff Raff,The Golden Alien,Hip-Hop/Rap
Rhythm in My Soul,3:30,Jonny Craig,Rhythm in My Soul - Single,Pop
Rhymin' & Stealin',4:08,Beastie Boys,Licensed to Ill,Hip-Hop/Rap
Rhyme Room Ep 2,4:01,Yelawolf,Best Of Freestyles,
Rhyme Room Ep 1,1:24,Yelawolf,Best Of Freestyles,
Rhyme Room (Feat. Raekwon & Killer Mike),4:13,Yelawolf,Trunk Muzik Returns,
Revolution In Limbo,9:13,Between the Buried and Me,Colors II,Metal
The Revival,5:01,The Dear Hunter,Act V: Hymns with the Devil in Confessional,Alternative
Reveries of Flight,2:38,"Oh, Sleeper",Son of the Morning,Christian Metal
Reverie,4:03,Polyphia,Remember That You Will Die,Rock
Reverb Island,3:55,Thomas Giles,Pulse,
Returning the Smile You Have Had from the Start,3:05,Emery,The Question,Alternative
Retrovertigo,4:59,Mr. Bungle,California,Hard Rock
Retrace,3:51,Anberlin,New Surrender,Alternative
Respect My Gun (feat. Roc Marciano),3:11,PRhyme,PRhyme 2,Hip-Hop
Resistance,5:47,Muse,The Resistance,Alternative Rock
The Resistance,3:17,Anberlin,New Surrender,Alternative
Resilience,3:40,Pierce the Veil,The Jaws of Life,Alternative
Rescue,3:57,Tides of Man,,Rock
Rescue,3:57,Tides of Man,Empire Theory,Rock
"Renob, Nevada",3:15,Attack Attack!,Attack Attack,Rock
Renegades,3:41,Yelawolf,Ghetto Cowboy,Hip-Hop/Rap
Remind Me I'm Alive,3:35,Ivoryline,There Came A Lion,Alternative Rock
Remembered,3:51,The Dear Hunter,Act IV: Rebirth in Reprise,Alternative
Remember Me,4:21,Tame Impala,Sundown Syndrome / Remember Me - Single,Rock
Remember High School,4:09,Macklemore,The Language Of My World,Seattle Underground
A Remark You Made,6:52,Weather Report,Heavy Weather,Fusion
Relinquished,4:52,Job For A Cowboy,DOOM,Grindcore
Relaxingboxfansleepambientsounds No.3,3:32,Bilmuri,400Lb Back Squat,Alternative
Relationships (Skit),0:44,PRhyme,PRhyme 2,Hip-Hop
Reject Falicon,4:21,Thomas Giles,Pulse,
Reindeer Age,3:54,Closure In Moscow,First Temple,Alternative
The Reign Of Unending Terror,3:23,Protest The Hero,Scurrilous,Metal
Rehab (Amy Winehouse Cover/LIVE Studio Recording),2:59,Jonny Craig,Covers,
Regurgitated Disinformation,4:46,Job For A Cowboy,Ruination,Technical Death Metal
Regress,1:22,The Dear Hunter,Act V: Hymns with the Devil in Confessional,Alternative
Regenerate,5:06,Born Of Osiris,The Discovery,Metal
Redwine,2:40,Unprocessed,Gold,Alternative
Reduced to Mere Filth,2:58,Job For A Cowboy,Genesis,Death Metal
Redemption,1:46,Junkie XL,Mad Max: Fury Road (Original Motion Picture Soundtrack) [Deluxe Version],Soundtrack
Redeeming A Monster,3:38,Broadway,Kingdoms,Alternative
Red Prairie Dawn,2:51,Julian Lage,World's Fair,Jazz
Red Miso,4:31,Animals As Leaders,Parrhesia,Metal
Recreate,4:01,Born Of Osiris,The Discovery,Metal
Reclusion,3:31,Anberlin,Cities,Alternative
Reciprocation,4:09,Whale Bones,Island Fire,Alternative
Rebirth,2:51,The Dear Hunter,Act IV: Rebirth in Reprise,Alternative
Reality In Motion,4:13,Tame Impala,Currents,Alternative
Real World,2:51,The Home Team,Better Off,Pop Punk
Real (feat. Tim Henson & Clay Gober),3:38,Unprocessed,Real (feat. Tim Henson & Clay Gober) - Single,Metal
Readyfuels [Demo],3:48,Anberlin,Lost Songs,Alternative
